stock_code,post_id,title,author,date,reads,replies,sector
601360,1769264533,从K线看，三六零正在走W底的右底，下周开始将上涨脱离底部区域，现在正是抄底最后的,穷的叮当响每月只吃三次肉,09-05 12:07,304,6,AI_Agent
601360,1769317122,我今天使用了纳米AI，想翻译一段200字的英文。结果要求我登陆，点了微信登陆图标,股友mR68258330,09-06 12:41,159,1,AI_Agent
601360,1753693288,《项王临江》棋盘米粒2022乌江浪卷楚天秋，匹马悲嘶落日愁。莫道扁舟横渡口，横刀,棋盘米粒2022,08-04 01:45,181,2,AI_Agent
601360,1769293869,chatgpt6可能强到类科技生命了？反正真的很夸张，咱们还内耗么,水高山低,09-05 10:33,169,6,AI_Agent
601360,1769302978,海致科技：知识图谱开启产业AI,司马茶馆,09-06 07:09,1135,2,AI_Agent
601360,1768920179,天津上市公司2026年中报营收稳步增长 科创动能持续释放,海光信息资讯,09-04 01:06,1805,2,AI_Agent
601360,1769292975,是时候涨360了，买它不为别的，个人电脑也有360产品，手机软件也有360产品，,鹏学士研究生博士,09-05 10:13,194,4,AI_Agent
601360,1769303094,$三六零(SH601360)$,股友信仰之道,09-06 07:15,434,0,AI_Agent
601360,1769303077,OpenAI智能体被曝“劫持”德国程序员网站扎堆分享测试作弊技巧,股友NefTGx,09-06 07:14,92,0,AI_Agent
601360,1768894016,新“易中天”集体飙涨！GPT-6引爆AI应用 AGI时代正式开启？(附股),易点天下资讯,09-04 11:50,382353,780,AI_Agent
601360,1769079088,今天在众多利好下没超过9.30估计还是怕流通股炸盘，在8.22出来一些。比昨天强,赚一小点点就行,09-04 02:44,116,2,AI_Agent
601360,1769233677,一线探访新质生产力 北京上协开展专题调研,三六零资讯,09-05 12:43,1900,7,AI_Agent
601360,1768708228,我昨天说三六零看上去弱，但也没那么弱，跳空高开的缺口都没去碰。然后这个大师说三六,太平洋西岸首富,09-04 09:50,894,10,AI_Agent
601360,1769274097,三重驱动共振！GPT-6 Astra引爆AGI行情，国内AI大模型及应用核心标的梳理,精准把控核心主线,09-05 03:30,2931,3,AI_Agent
601360,1769171421,走进一线看新质 北京上协专题调研助推上市公司高质量发展,三六零资讯,09-04 06:36,1700,9,AI_Agent
601360,1769269994,《下周一节气：白露》棋盘米粒2022暑热悄然消散，一夜秋风，催来了白露。清晨的薄,棋盘米粒2022,09-05 02:01,396,0,AI_Agent
601360,1769269725,病毒360,股友t0H2821367,09-05 01:55,44,0,AI_Agent
