stock_code,post_id,title,author,date,reads,replies,sector,stock_name,sector_name,title_clean,title_segmented,sentiment,sentiment_score
601360,1769348222,市盈率高、散户多，难涨。,多拉大A梦,09-06 09:57,38,0,AI_Agent,三六零,AI Agent,市盈率高、散户多，难涨。,市盈率 散户 难涨,正面,1.0
601360,1769336928,美国的网络安全股，月线都已经走出一波主升浪了大A的连底都没走出来,戏说人生,09-06 07:04,203,3,AI_Agent,三六零,AI Agent,美国的网络安全股，月线都已经走出一波主升浪了大A的连底都没走出来,美国 网络安全 月线 已经 走出 一波 主升浪 连底 出来,中性,0.0
601360,1769331995,庄家还看不起这个票不要跟我说散户太多涨不起来其实干掉散户最好的手段就是连续拉伸一,股友686f769I00,09-06 05:34,126,2,AI_Agent,三六零,AI Agent,庄家还看不起这个票不要跟我说散户太多涨不起来其实干掉散户最好的手段就是连续拉伸一,庄家 看不起 这个 不要 散户 太多涨 起来 干掉 散户 最好 手段 就是 连续 拉伸,正面,1.0
601360,1769336660,下周破缺口,大神来救,09-06 06:59,75,3,AI_Agent,三六零,AI Agent,下周破缺口,下周 缺口,负面,-1.0
601360,1769262300,听说啵总来了,guzhenjun,09-05 11:29,124,3,AI_Agent,三六零,AI Agent,听说啵总来了,听说 总来,中性,0.0
601360,1769314469,GPT-6发布，AGI元年来了？对国产开源大模型、网络安全和AI细分赛道会有哪些影响,野渡无人77,09-06 11:44,3227,17,AI_Agent,三六零,AI Agent,GPT-6发布，AGI元年来了？对国产开源大模型、网络安全和AI细分赛道会有哪些影响,GPT 发布 AGI 元年 国产 开源 模型 网络安全 AI 细分 赛道 哪些 影响,正面,1.0
601360,1769345679,股吧里全是主力诱多唱多的机器人,沉着冷静的居头三,09-06 09:20,40,1,AI_Agent,三六零,AI Agent,股吧里全是主力诱多唱多的机器人,全是 主力 诱多 机器人,中性,0.0
601360,1769343691,360的图龙锋平台在比赛里直接当起了“AI裁判”,大牛资本,09-06 08:50,293,0,AI_Agent,三六零,AI Agent,360的图龙锋平台在比赛里直接当起了“AI裁判”,360 图龙锋 平台 比赛 直接 当起 AI 裁判,正面,1.0
601360,1768501664,三六零收盘点评：今天全天弱势，并且把日线macd杀翻绿，弱势翻红后又马上翻绿，是,静见万物,09-03 04:47,2534,26,AI_Agent,三六零,AI Agent,三六零收盘点评：今天全天弱势，并且把日线macd杀翻绿，弱势翻红后又马上翻绿，是,六零 收盘 点评 全天 弱势 并且 日线 macd 弱势 翻红 马上 翻绿,中性,0.0
601360,1769327514,GPT-6系列1：GPT-6炸场，通用人工智能（AGI）时代的曙光,野渡无人77,09-06 04:16,1976,1,AI_Agent,三六零,AI Agent,GPT-6系列1：GPT-6炸场，通用人工智能（AGI）时代的曙光,GPT 系列 GPT 炸场 通用 人工智能 AGI 时代 曙光,正面,1.0
601360,1769339352,先炒硬件——热门硬件都炒到每股1000元以上了。再炒软件——软件先炒应用，然后才,戏说人生,09-06 07:42,136,2,AI_Agent,三六零,AI Agent,先炒硬件——热门硬件都炒到每股1000元以上了。再炒软件——软件先炒应用，然后才,硬件 热门 硬件 每股 1000 以上 软件 软件 应用,中性,0.0
601360,1769320849,无论是走势图形来看，还是基本面情况分析，三六零股价数年的大低即将形成，随着AI人,新的感觉6688,09-06 02:06,294,3,AI_Agent,三六零,AI Agent,无论是走势图形来看，还是基本面情况分析，三六零股价数年的大低即将形成，随着AI人,无论是 走势 图形 来看 基本面 情况 分析 六零 股价 数年 大低 即将 形成 随着 AI,正面,1.0
601360,1769321924,软件股类似于st股票，没业绩没成长性,ybyszyxdhcwxg,09-06 02:30,66,4,AI_Agent,三六零,AI Agent,软件股类似于st股票，没业绩没成长性,软件 类似 st 业绩 成长性,中性,0.0
601360,1766147605,坚持操作的几条铁律（收藏）,牛途策略,08-30 02:27,7607,38,AI_Agent,三六零,AI Agent,坚持操作的几条铁律（收藏）,坚持 操作 几条 铁律 收藏,中性,0.0
601360,1769309841,地球上最垃圾公司，纳米work今年电脑卸了十几次了，又无缘无故装上，今天所,迈瑞雄起,09-06 10:15,207,10,AI_Agent,三六零,AI Agent,地球上最垃圾公司，纳米work今年电脑卸了十几次了，又无缘无故装上，今天所,地球 垃圾 纳米 work 今年 电脑 十几次 无缘无故,中性,0.0
601360,1769333707,这么多唱多的，周一完了,股神202088,09-06 06:06,67,2,AI_Agent,三六零,AI Agent,这么多唱多的，周一完了,这么 多唱 周一,负面,-1.0
601360,1769331804,拥抱AGI时代。未来20年，我们有幸见证并参与其中。新一轮技术革命已至，你准备好,刀尖舞者2026,09-06 05:31,63,0,AI_Agent,三六零,AI Agent,拥抱AGI时代。未来20年，我们有幸见证并参与其中。新一轮技术革命已至，你准备好,拥抱 AGI 时代 未来 20 我们 有幸 见证 参与 其中 新一轮 技术 革命 已至 准备,中性,0.0
601360,1769329485,从九月开始至明年，AI+安全是大A行情主线，AI越发展，安全越重要！AI支撑大模,股友YYbFR9,09-06 04:51,116,3,AI_Agent,三六零,AI Agent,从九月开始至明年，AI+安全是大A行情主线，AI越发展，安全越重要！AI支撑大模,九月 开始 明年 AI 安全 行情 主线 AI 发展 安全 重要 AI 支撑 大模,正面,1.0
601360,1769331711,一到周末一帮牛鬼神蛇就出来无脑唱多，大家务必小心！！！再次提醒:短线上冲已到位，,稳准狠就是他,09-06 05:29,68,0,AI_Agent,三六零,AI Agent,一到周末一帮牛鬼神蛇就出来无脑唱多，大家务必小心！！！再次提醒:短线上冲已到位，,一到 周末 一帮 鬼神 出来 无脑 大家 务必 小心 再次 提醒 短线 上冲 到位,正面,1.0
601360,1769331295,炒股终将回归简单常识！三六零是AI时代的大A安全第一股，AI时代更需要安全护航！,股友YYbFR9,09-06 05:23,51,0,AI_Agent,三六零,AI Agent,炒股终将回归简单常识！三六零是AI时代的大A安全第一股，AI时代更需要安全护航！,炒股 终将 回归 简单 常识 六零 AI 时代 安全 第一股 AI 时代 需要 安全 护航,正面,1.0
601360,1769329168,周日话三六零：周五回顾与下周一展望周五回顾：开盘9.03元，最低8.94元，最高,不忘初心fdsz,09-06 04:45,215,0,AI_Agent,三六零,AI Agent,周日话三六零：周五回顾与下周一展望周五回顾：开盘9.03元，最低8.94元，最高,周日 六零 周五 回顾 下周一 展望 周五 回顾 开盘 9.03 最低 8.94 最高,负面,-1.0
601360,1769328974,怎么人气突然上来了,刀尖舞者2026,09-06 04:41,50,0,AI_Agent,三六零,AI Agent,怎么人气突然上来了,人气 突然 上来,中性,0.0
601360,1769275657,三六零日周线收盘点评：日线上，7.8号见底以来，已经构建出了一个大型底部，迄今为,静见万物,09-05 04:06,1927,15,AI_Agent,三六零,AI Agent,三六零日周线收盘点评：日线上，7.8号见底以来，已经构建出了一个大型底部，迄今为,六零 周线 收盘 点评 日线 7.8 以来 已经 构建 大型 底部 迄今,中性,0.0
601360,1769321499,怎么都跌成这样了，这个股吧里还有这么多人看好。。。真是奇怪，都是主力请来的拖吗？,认真的曾娴星,09-06 02:20,55,1,AI_Agent,三六零,AI Agent,怎么都跌成这样了，这个股吧里还有这么多人看好。。。真是奇怪，都是主力请来的拖吗？,跌成 这样 这个 还有 这么 多人 看好 真是 奇怪 主力 请来,中性,0.0
601360,1769264533,从K线看，三六零正在走W底的右底，下周开始将上涨脱离底部区域，现在正是抄底最后的,穷的叮当响每月只吃三次肉,09-05 12:07,304,6,AI_Agent,三六零,AI Agent,从K线看，三六零正在走W底的右底，下周开始将上涨脱离底部区域，现在正是抄底最后的,六零 正在 右底 下周 开始 上涨 脱离 底部 区域 现在 正是 抄底 最后,正面,0.5
601360,1769317122,我今天使用了纳米AI，想翻译一段200字的英文。结果要求我登陆，点了微信登陆图标,股友mR68258330,09-06 12:41,159,1,AI_Agent,三六零,AI Agent,我今天使用了纳米AI，想翻译一段200字的英文。结果要求我登陆，点了微信登陆图标,使用 纳米 AI 翻译 一段 200 英文 结果 要求 登陆 微信 登陆 图标,正面,1.0
601360,1753693288,《项王临江》棋盘米粒2022乌江浪卷楚天秋，匹马悲嘶落日愁。莫道扁舟横渡口，横刀,棋盘米粒2022,08-04 01:45,181,2,AI_Agent,三六零,AI Agent,《项王临江》棋盘米粒2022乌江浪卷楚天秋，匹马悲嘶落日愁。莫道扁舟横渡口，横刀,项王 临江 棋盘 米粒 2022 乌江 浪卷 天秋 匹马 悲嘶 落日 莫道 扁舟 横渡 横刀,中性,0.0
601360,1769293869,chatgpt6可能强到类科技生命了？反正真的很夸张，咱们还内耗么,水高山低,09-05 10:33,169,6,AI_Agent,三六零,AI Agent,chatgpt6可能强到类科技生命了？反正真的很夸张，咱们还内耗么,chatgpt6 强到 科技 生命 反正 夸张 咱们 内耗,正面,1.0
601360,1769302978,海致科技：知识图谱开启产业AI,司马茶馆,09-06 07:09,1135,2,AI_Agent,三六零,AI Agent,海致科技：知识图谱开启产业AI,海致 科技 知识 图谱 开启 产业 AI,正面,1.0
601360,1768920179,天津上市公司2026年中报营收稳步增长 科创动能持续释放,海光信息资讯,09-04 01:06,1805,2,AI_Agent,三六零,AI Agent,天津上市公司2026年中报营收稳步增长 科创动能持续释放,天津 上市公司 2026 中报 营收 稳步增长 科创 动能 持续 释放,正面,1.0
601360,1769292975,是时候涨360了，买它不为别的，个人电脑也有360产品，手机软件也有360产品，,鹏学士研究生博士,09-05 10:13,194,4,AI_Agent,三六零,AI Agent,是时候涨360了，买它不为别的，个人电脑也有360产品，手机软件也有360产品，,360 别的 个人电脑 360 产品 手机软件 360 产品,正面,1.0
601360,1769303094,$三六零(SH601360)$,股友信仰之道,09-06 07:15,434,0,AI_Agent,三六零,AI Agent,$三六零(SH601360)$,六零 SH601360,中性,0.0
601360,1769303077,OpenAI智能体被曝“劫持”德国程序员网站扎堆分享测试作弊技巧,股友NefTGx,09-06 07:14,92,0,AI_Agent,三六零,AI Agent,OpenAI智能体被曝“劫持”德国程序员网站扎堆分享测试作弊技巧,OpenAI 智能 劫持 德国 程序员 网站 扎堆 分享 测试 作弊 技巧,正面,1.0
601360,1768894016,新“易中天”集体飙涨！GPT-6引爆AI应用 AGI时代正式开启？(附股),易点天下资讯,09-04 11:50,382353,780,AI_Agent,三六零,AI Agent,新“易中天”集体飙涨！GPT-6引爆AI应用 AGI时代正式开启？(附股),易中天 集体 飙涨 GPT 引爆 AI 应用 AGI 时代 正式 开启 附股,正面,1.0
601360,1769079088,今天在众多利好下没超过9.30估计还是怕流通股炸盘，在8.22出来一些。比昨天强,赚一小点点就行,09-04 02:44,116,2,AI_Agent,三六零,AI Agent,今天在众多利好下没超过9.30估计还是怕流通股炸盘，在8.22出来一些。比昨天强,众多 利好 超过 9.30 估计 流通股 炸盘 8.22 出来 一些,中性,0.0
601360,1769233677,一线探访新质生产力 北京上协开展专题调研,三六零资讯,09-05 12:43,1900,7,AI_Agent,三六零,AI Agent,一线探访新质生产力 北京上协开展专题调研,一线 探访 新质 生产力 北京 上协 开展 专题 调研,中性,0.0
601360,1768708228,我昨天说三六零看上去弱，但也没那么弱，跳空高开的缺口都没去碰。然后这个大师说三六,太平洋西岸首富,09-04 09:50,894,10,AI_Agent,三六零,AI Agent,我昨天说三六零看上去弱，但也没那么弱，跳空高开的缺口都没去碰。然后这个大师说三六,六零 看上去 那么 空高开 缺口 这个 大师 说三六,负面,-1.0
601360,1769274097,三重驱动共振！GPT-6 Astra引爆AGI行情，国内AI大模型及应用核心标的梳理,精准把控核心主线,09-05 03:30,2931,3,AI_Agent,三六零,AI Agent,三重驱动共振！GPT-6 Astra引爆AGI行情，国内AI大模型及应用核心标的梳理,三重 驱动 共振 GPT Astra 引爆 AGI 行情 国内 AI 模型 应用 核心 标的 梳理,正面,0.3333
601360,1769171421,走进一线看新质 北京上协专题调研助推上市公司高质量发展,三六零资讯,09-04 06:36,1700,9,AI_Agent,三六零,AI Agent,走进一线看新质 北京上协专题调研助推上市公司高质量发展,走进 一线 看新质 北京 上协 专题 调研 助推 上市公司 高质量 发展,正面,1.0
601360,1769269994,《下周一节气：白露》棋盘米粒2022暑热悄然消散，一夜秋风，催来了白露。清晨的薄,棋盘米粒2022,09-05 02:01,396,0,AI_Agent,三六零,AI Agent,《下周一节气：白露》棋盘米粒2022暑热悄然消散，一夜秋风，催来了白露。清晨的薄,下周一 节气 白露 棋盘 米粒 2022 暑热 悄然 消散 一夜 秋风 催来 白露 清晨,负面,-1.0
601360,1769269725,病毒360,股友t0H2821367,09-05 01:55,44,0,AI_Agent,三六零,AI Agent,病毒360,病毒 360,中性,0.0
601360,1769252291,这个公司就是追市场热点，没有技术深度，东一榔头，西一锤子的，缺乏深入的技术发展定,雨过的经荷,09-05 09:00,114,1,AI_Agent,三六零,AI Agent,这个公司就是追市场热点，没有技术深度，东一榔头，西一锤子的，缺乏深入的技术发展定,这个 就是 市场 热点 没有 技术 深度 东一 榔头 西一 锤子 缺乏 深入 技术 发展,正面,1.0
